Africa,Madagascar,14763,25,59,4003,570,608,33.95,13.78,52.26,1.9,58154,3105,24000,23200,7849,22827,1,0,99,1087,4169,5556,10288,740,1300,1558,0,X,X,15,75959,1.25,105,77,253,103,9000,6500
Africa,Malawi,11129,94,189,1505,X,496,39.2,18.12,42.68,8.8,9408,1700,1840,3700,2168,1678,10,3,86,28,3084,4267,980,196,890,245,2,X,X,11,132511,2.8,195,0,645,0,3600,49
Africa,Mali,10795,9,20,2909,X,X,42.39,15.36,42.25,7.7,122019,2503,30000,6900,82616,6207,2,1,97,1,2524,3187,5542,5173,7380,63,712,X,260,7,53504,0.76,137,0,622,0,1741,11
Africa,Mauritania,2274,2,4,1224,238,837,27.65,30.16,42.19,5,102522,208,39250,4410,58654,5013,6,2,92,49,445,705,1011,4800,3100,X,173,X,1000,39,79,0.09,61,1,541,0,1100,X
Africa,Morocco,27028,61,91,13071,5543,2173,14.3,32.36,53.34,0.2,44630,9920,20900,8970,4840,1110,5,3,92,1258,2868,8441,2431,15594,4431,10,1555,X,36,297,13725,1.59,105,4,416,0,3600,625
Africa,Mozambique,16004,20,44,5481,1109,711,33.15,12.01,54.83,19.1,78409,3180,44000,14000,17229,12997,9,2,89,118,6225,7716,1250,119,389,174,20,X,X,14,147370,0.18,179,1,678,0,5500,219
Africa,Namibia,1540,2,4,576,76,2774,9.84,26.9,63.27,0.3,82329,662,38000,18000,25667,29545,29,3,68,6,154,472,2036,2620,1639,18,137,X,X,X,0,0,154,3,609,1,3128,X
Africa,Niger,9151,7,18,1558,X,X,38.52,17.89,43.58,1.4,126670,3605,8915,2500,111650,3552,16,2,82,66,3645,4241,1986,3700,5900,39,532,X,370,15,46886,0,131,0,482,0,1170,X
Africa,Nigeria,111721,121,258,43884,4383,978,33.52,42.63,23.86,2.9,91077,32385,40000,11300,7392,2506,31,15,54,957,28219,44279,16717,14455,25497,6926,1237,X,18,705,1009506,11.52,274,6,862,2,4614,205
Africa,Reunion,653,260,359,442,279,X,X,X,X,X,250,48,12,88,102,X,X,X,X,6,25,248,25,2,32,86,0,X,X,23,5167,1.79,X,X,X,X,X,X
Africa,Rwanda,7952,302,600,483,X,762,40.54,21.47,38,3.2,2467,1170,450,550,297,792,5,2,94,4,3348,3690,610,400,1100,130,0,X,X,7,52771,0.83,151,0,666,0,2288,26
Africa,Senegal,8312,42,86,3512,1378,X,19.51,19.13,61.36,-2,19253,2350,3100,10450,3353,4740,5,3,92,71,2613,3362,2800,4600,3200,329,879,X,16,38,49439,0,155,0,610,0,2062,26
Africa,Sierra Leone,4509,63,121,1632,453,734,X,X,X,0.7,7162,540,2200,2040,2382,35485,7,4,89,29,910,1518,362,302,168,51,0,X,X,6,29662,0,147,0,622,0,2090,74
Africa,Somalia,9250,15,33,2382,1186,X,X,X,X,X,62734,1020,43000,16000,2714,1459,3,0,97,180,2539,3714,5000,13000,12000,9,46,X,6000,X,71411,0,171,11,649,10,3000,500
Africa,South Africa,41465,34,58,21073,4272,3068,4.56,39.45,55.99,1.1,122104,13179,81378,8200,19347,1206,17,11,72,1270,1886,14716,12584,29134,6402,1511,454,X,X,3578,131424,2.97,247,27,790,7,23000,X
Africa,Sudan,28098,11,23,6915,356,X,X,X,X,X,237600,12975,110000,44240,70385,5481,4,1,94,1946,5066,8943,21751,22870,16449,X,699,X,2856,48,220068,3.38,267,11,937,0,3132,50
Africa,Swaziland,855,49,95,267,X,X,11.76,38.7,49.54,2,1720,191,1070,120,339,5275,2,2,96,67,217,340,620,27,434,32,13,X,X,X,18487,0,47,0,485,0,2636,4
